R_wall[m];Z_wall[m];Eion[eV];Eatom[eV];ion_flux[m^-2s^-1];atom_flux[m^-2s^-1];net_heat_flux[W/m^2]
1.979899227763287;-0.608328998982618;6.954514475151133;10.739809952731562;8.016551132640837e+18;2.793624251009157e+20;1.753981291545372e+03
1.981878896382802;-0.609131688515189;7.336459400031448;11.462791723796531;2.960603944467741e+19;2.800023894662220e+20;1.679094108869941e+03
1.989173849127283;-0.612058226561245;7.463774374991551;11.600134110292789;2.864681706460866e+19;3.414817571614187e+20;1.706783270749552e+03
1.998067657162260;-0.615633027882790;7.463774374991551;10.430065870688686;4.965570501904558e+19;4.141330002926451e+20;1.979192190801100e+03
1.998641442164222;-0.615869405873078;7.933675363130858;10.844225676225346;7.012464110741686e+19;3.412105608423521e+20;2.142645118260563e+03
2.006754711274193;-0.619145312075515;8.090309025843959;9.919571195390841;6.254734167645312e+19;3.373973030353729e+20;2.129982793218115e+03
2.012914985406351;-0.621635393731893;8.649197884146547;10.574615114115323;2.336214707897902e+20;3.658610741636725e+20;2.850606636672437e+03
2.014412113451867;-0.622240619230099;8.830551970180926;11.503825931744231;1.801797625107111e+20;3.837765736658013e+20;3.290030958225443e+03
2.021581888095374;-0.625139535075568;8.825609770114442;11.281313323686391;1.805060170095624e+20;3.968634379168261e+20;3.275952646168435e+03
2.025247051422187;-0.626610651731312;9.503808722538100;11.735464555798121;4.794759963261393e+20;4.316480303739330e+20;5.372935701706948e+03
2.027990429065922;-0.627705141293220;9.724978353710288;11.465212045894283;4.353381399784092e+20;4.279849700797099e+20;5.518580421944564e+03
2.033316925536666;-0.629843042312971;9.720081667407921;12.047413069019646;4.211521961687932e+20;4.307923884454522e+20;5.065081082392159e+03
2.036267449407344;-0.631034141709844;10.425224343771738;12.255921891226624;8.689995998703206e+20;4.927727753590365e+20;8.844313589812738e+03
2.038912584415405;-0.632104910343242;10.660271902559677;11.743420274502643;8.087620961063465e+20;5.503749751785427e+20;9.216695176276255e+03
2.045891345825308;-0.634927121686955;11.243619682515623;11.812812405333410;1.467344497639963e+21;5.919318404519256e+20;1.472394744871257e+04
2.054420808342080;-0.638377182205123;12.006384774361438;13.012673746101855;2.343766891772965e+21;7.326778984013567e+20;2.465480044655726e+04
2.061435602451144;-0.641200841903371;12.609649914249855;13.477549470210599;3.282084745563179e+21;9.553478254625381e+20;3.572255671219674e+04
2.067494731716315;-0.643629868399875;13.068745627802651;12.509195115465678;4.540501463035167e+21;1.075246865611534e+21;4.770776642462051e+04
2.072492859026001;-0.645636442636228;13.370497541879741;13.071026046932275;5.150343146738521e+21;1.382487997893702e+21;5.999561360221102e+04
2.076941733503989;-0.647440838450951;13.595288178972089;12.871771470420102;6.291314526174037e+21;1.546349025978798e+21;7.209556198417459e+04
2.080365674503750;-0.648822244338839;13.765699895056095;13.062402568074987;7.864141456669039e+21;1.778245677555378e+21;8.275493310450877e+04
2.083061634843157;-0.649911975415737;13.864260321762421;12.565503675503171;7.970552879829780e+21;1.691014062016810e+21;9.212034962589388e+04
2.084963609172065;-0.650680693464351;13.879400069919887;13.092943655712864;8.489404875619135e+21;1.929233292734076e+21;9.817027831759592e+04
2.087484924307899;-0.651702448239335;13.898161306161796;13.365904911887299;8.710669239157665e+21;2.057359049238056e+21;1.040442852588943e+05
2.090144955192668;-0.652765925391499;13.969359329832434;13.212874282345417;9.566887086226389e+21;2.065841865543434e+21;1.146675698982843e+05
2.092852346816398;-0.653851904725955;14.033842596355159;13.326568852039118;1.030414031566715e+22;2.488535471286861e+21;1.196753101682590e+05
2.095969934161531;-0.655096018600581;14.100389079510459;13.787455949847564;1.105151810275111e+22;2.654628532592881e+21;1.330033968550362e+05
2.099197333180255;-0.656397045364141;14.154540313325839;13.415310962521042;1.149231875677381e+22;2.806794713929418e+21;1.388251413996280e+05
2.102541278845511;-0.657748959564134;14.220539300473270;13.283779800973434;1.322313634721683e+22;3.158270627553880e+21;1.605937977645700e+05
2.105801713696258;-0.659067198443442;14.221915389201543;12.950469403752875;1.400575828964275e+22;3.280373924493488e+21;1.699218518553509e+05
2.109250243316763;-0.660457198254430;14.261676825008740;12.971940952467166;1.412398527580061e+22;3.354579490518216e+21;1.762487955168014e+05
2.112964394101501;-0.661960854044093;14.310886470593106;13.263589185639864;1.430110243216357e+22;3.594090901504506e+21;1.820988744851203e+05
2.117044451670141;-0.663610512494741;14.383024340382557;13.334747233633818;1.511733317898429e+22;3.616064524892309e+21;1.958697317305343e+05
2.121289832349237;-0.665323204745178;14.488647587848996;12.983133159909549;1.497335872780383e+22;3.676235971134881e+21;2.036999628117928e+05
2.125648571986728;-0.667087858761881;14.555813608855672;13.136110832572122;1.525880233201440e+22;3.623641322113019e+21;1.995979147345186e+05
2.130274862214483;-0.668938378516527;14.563716823990767;13.077160544268724;1.201558029810837e+22;3.062731627389311e+21;1.512097685140749e+05
2.135036938424630;-0.670844482121368;14.098758640424956;12.618137685713906;7.475926882914123e+21;2.439966244445317e+21;8.778279902426882e+04
2.137986158921698;-0.672036239671578;13.219368841565364;12.286500108548418;4.490533332420081e+21;2.007211993545915e+21;4.678624423512603e+04
