s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
1.052286039138213e+00;5.796792838157487e+20;1.317096525401951e+01;NaN;6.657914963095040e+21;1.007015916842093e+01;NaN;9.454662304454761e+03
1.055988626941788e+00;2.493156194621293e+20;1.062914262618744e+01;NaN;6.455996419524593e+21;1.001265349418475e+01;NaN;8.183388011741444e+03
1.058934415624776e+00;2.006938945160745e+20;1.311398599216949e+01;NaN;6.151399573154825e+21;9.285367126998540e+00;NaN;7.660443604446566e+03
1.062981552853648e+00;6.458382394583203e+19;1.038100957519286e+01;NaN;5.615024363604772e+21;1.006011446361861e+01;NaN;6.753987042342778e+03
1.066142037903537e+00;9.176486923827941e+19;1.281665417165104e+01;NaN;5.551168868485850e+21;9.853879273476387e+00;NaN;6.470366752926228e+03
1.070390900168833e+00;2.053843487915479e+19;5.278966086141309e+00;NaN;5.609863291373889e+21;9.553900079992601e+00;NaN;6.048419465625211e+03
1.073851133657754e+00;0.000000000000000e+00;NaN;NaN;4.018284670850137e+21;9.419433672203469e+00;NaN;4.630615312935926e+03
1.077413733804881e+00;9.908063441471363e+18;9.993093904446503e+00;NaN;5.387380574406125e+21;9.318629891491895e+00;NaN;5.567465194247208e+03
1.081841943349144e+00;0.000000000000000e+00;NaN;NaN;4.877444538074294e+21;9.620469138423751e+00;NaN;5.767169951378899e+03
1.085498828216508e+00;0.000000000000000e+00;NaN;NaN;4.746556943074782e+21;9.046118715521471e+00;NaN;5.062484732485575e+03
1.089720984924386e+00;0.000000000000000e+00;NaN;NaN;4.887111703501965e+21;9.640227112020613e+00;NaN;5.052524644754139e+03
1.093887244747804e+00;3.861446795847199e+18;5.561022779940289e+00;NaN;4.551644043016321e+21;9.299207520263606e+00;NaN;4.754702444618834e+03
1.098048233760664e+00;0.000000000000000e+00;NaN;NaN;4.329147729601005e+21;9.405992405674690e+00;NaN;4.509051476060044e+03
1.102124688613211e+00;0.000000000000000e+00;NaN;NaN;4.337446330234041e+21;9.035028954654024e+00;NaN;4.146642972739824e+03
1.106554092807745e+00;0.000000000000000e+00;NaN;NaN;4.290255632619972e+21;8.400875457712441e+00;NaN;3.988170212734803e+03
1.110936076962340e+00;0.000000000000000e+00;NaN;NaN;3.991979660712978e+21;8.823287108466189e+00;NaN;3.760252315787779e+03
1.115727487788149e+00;0.000000000000000e+00;NaN;NaN;4.171893149159376e+21;8.516657629577988e+00;NaN;3.616887943521506e+03
1.120548285445945e+00;0.000000000000000e+00;NaN;NaN;3.932057143597624e+21;8.326192411422754e+00;NaN;3.481139870092718e+03
1.125953632269558e+00;0.000000000000000e+00;NaN;NaN;4.184759116302168e+21;8.595866353810782e+00;NaN;3.485291719494882e+03
1.131093786385499e+00;0.000000000000000e+00;NaN;NaN;3.791222395825949e+21;8.722675931382911e+00;NaN;3.270104727268557e+03
1.136936028740989e+00;0.000000000000000e+00;NaN;NaN;3.536056583821842e+21;8.140008827852593e+00;NaN;2.918925016001978e+03
1.142244272029786e+00;0.000000000000000e+00;NaN;NaN;3.590212750758619e+21;8.224940897298552e+00;NaN;2.895766611619018e+03
1.146300595115938e+00;0.000000000000000e+00;NaN;NaN;3.520114729026196e+21;8.630890631891937e+00;NaN;2.809059487027357e+03
