              s_cell [m];   flux_inc_ion [m-2.s-1];   flux_imp_ion [m-2.s-1];           E_imp_ion [eV];        alpha_V_ion [deg];  flux_inc_atom [m-2.s-1];  flux_imp_atom [m-2.s-1];          E_imp_atom [eV];       alpha_V_atom [deg];  net_energy_flux [W.m-2]
   8.860251673221309e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.078699894842112e+20;    1.969110181380479e+20;    2.217773389390273e+02;    3.627095770044674e+01;    1.605687561135576e+04
   8.876223697627555e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.816365446300710e+20;    1.411449881859886e+20;    1.574366169791112e+02;    4.038474275013431e+01;    1.031768689964604e+04
   8.892431387431678e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.496982221497338e+20;    2.111456081181976e+20;    1.512761753938422e+02;    3.877657828093185e+01;    1.110052473247860e+04
   8.908862434847833e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.049658107544466e+20;    2.288769193465609e+20;    1.274363502011481e+02;    3.901950431150954e+01;    8.367804069886581e+03
   8.925403982364202e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    1.038111360428200e+21;    1.735385584437544e+20;    1.540419802237476e+02;    3.490047386619298e+01;    1.121554734889606e+04
   8.942290658517831e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.818477544019105e+20;    2.435585541457691e+20;    1.279496604885169e+02;    3.838049839562864e+01;    8.887216910132562e+03
   8.957867214536344e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.011228848612023e+20;    1.439689950539261e+20;    1.442737726369985e+02;    4.137260323453689e+01;    6.058848778572262e+03
   8.971494642611983e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    6.832452543781293e+20;    1.638098121743531e+20;    1.277680927422764e+02;    3.801279152571101e+01;    5.927025666655557e+03
   8.984464074013405e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.439722590771140e+20;    1.579092911197097e+20;    1.613587375077282e+02;    3.422919220714833e+01;    9.873048576284929e+03
   8.997044506505694e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    1.071647341454572e+21;    2.169899204476676e+20;    1.661031828183298e+02;    3.653344744817505e+01;    1.268467803546424e+04
   9.009288261121329e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.985567739850183e+20;    1.347457904719706e+20;    1.492285353444507e+02;    3.833165712700227e+01;    9.693348073741978e+03
   9.017401668982516e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    3.984762025185041e+20;    1.060256212295262e+20;    6.412389751893554e+01;    3.685361883518202e+01;    2.405982503095472e+03
   9.023079418743578e-01;    3.374884979365420e+19;    3.374884979365420e+19;    3.308496325868110e+01;    4.299790600842218e+01;    7.266191293394956e+20;    2.737562400438421e+20;    1.225793464696046e+02;    3.800519165840862e+01;    1.060991392692609e+04
   9.032207239363970e-01;    1.607349917863279e+20;    5.477570804870131e+19;    5.638855819669202e+01;    6.287483660438655e+01;    8.251660176834145e+20;    1.512209883831115e+20;    1.612309284366453e+02;    3.647210531320179e+01;    8.046650499458852e+03
   9.043350458441406e-01;    1.447629503101144e+20;    5.118878869452792e+19;    4.031572601048526e+01;    5.221398968516844e+01;    1.019440903495059e+21;    1.806047941887849e+20;    1.218849277915598e+02;    3.951960651632979e+01;    7.738011867301383e+03
   9.054436199495733e-01;    6.975729245061114e+19;    2.477186770984301e+19;    3.624989368759515e+01;    4.864873286297210e+01;    8.302372447585044e+20;    9.866139188543750e+19;    1.767246965138799e+02;    4.131390962322946e+01;    9.899491890405965e+03
   9.065629926990979e-01;    9.426255587504862e+19;    0.000000000000000e+00;    5.258474418578626e+01;    5.874189259630921e+01;    7.797365880277086e+20;    2.459841475655634e+20;    1.791775694079761e+02;    3.804164808702910e+01;    1.421320513881727e+04
   9.076988718035411e-01;    2.897881571982149e+19;    0.000000000000000e+00;    1.148128847717066e+02;    5.597306005214623e+01;    8.508619540037203e+20;    2.066011720132226e+20;    1.516200191491662e+02;    3.991993625443310e+01;    1.070667778123019e+04
   9.085886021899598e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.778911819401647e+20;    2.763897138630892e+20;    1.662018123753186e+02;    4.374650435255882e+01;    1.279625915499653e+04
   9.091695548429828e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.650855848212837e+20;    2.492818398646715e+20;    1.346164929433026e+02;    4.002957713562531e+01;    1.174377538991516e+04
   9.100102521868524e-01;    1.546651672681585e+20;    4.774124998576200e+19;    8.120284045674354e+01;    6.520172832157824e+01;    1.026435368160669e+21;    2.359109144900650e+20;    1.344452469537153e+02;    3.295690709077326e+01;    1.094564533077703e+04
   9.111480888193024e-01;    1.137482757671324e+20;    3.023426543215256e+19;    8.905848006451181e+01;    5.016796939627238e+01;    9.887593904285372e+20;    2.709496064188870e+20;    1.558956812711253e+02;    3.830172235896108e+01;    1.310451352013017e+04
   9.122441437889107e-01;    1.463544393707109e+20;    6.270537269590945e+19;    7.386112327214019e+01;    5.881639341746020e+01;    9.428715471990653e+20;    2.804111257300756e+20;    1.861727147081408e+02;    3.869935679643368e+01;    1.768356541565989e+04
   9.132983421301686e-01;    1.081127844929174e+20;    5.976030950519648e+19;    7.200622957159622e+01;    4.641357050232920e+01;    7.938046121785173e+20;    3.022469788923042e+20;    1.767372223521174e+02;    4.300059360338213e+01;    1.498278284281411e+04
   9.141402310193423e-01;    2.244049769820898e+20;    1.728529115046359e+20;    7.845018513353487e+01;    6.114890105372957e+01;    1.032894826213909e+21;    2.833643106458817e+20;    1.747686959057840e+02;    4.140490331389228e+01;    1.598401534350767e+04
   9.146361902531510e-01;    7.170283913243351e+19;    0.000000000000000e+00;    2.488189285567786e+01;    7.529220759047462e+01;    4.808026348611020e+20;    9.645564841035189e+19;    1.653776227824050e+02;    3.798921891626971e+01;    4.127378224317436e+03
   9.152799958544376e-01;    1.006435581465240e+20;    0.000000000000000e+00;    5.396960332865166e+01;    4.232025640308318e+01;    1.083680115951816e+21;    2.488290064047604e+20;    1.141960393950046e+02;    3.675289931702879e+01;    1.129540145315660e+04
   9.162077902257806e-01;    1.567372792939105e+20;    2.893536083258166e+19;    6.900877563705373e+01;    5.993630498494151e+01;    1.026703239997474e+21;    2.127507238185560e+20;    1.186623955971011e+02;    4.122559398770489e+01;    1.137704708674592e+04
   9.171014172262728e-01;    3.246051700829563e+20;    7.206205102853381e+19;    1.003324370929817e+02;    4.985883288718136e+01;    1.268302098215539e+21;    4.599643779012550e+20;    1.973161057059466e+02;    4.040422215165665e+01;    2.292454511493596e+04
   9.179635702873166e-01;    1.690453054448748e+20;    1.483857406249343e+19;    9.630462517284737e+01;    6.577545207315875e+01;    9.564886121565490e+20;    1.885232478609396e+20;    7.136605508127528e+01;    3.921911100154315e+01;    6.208718425398012e+03
